nama_produk,nama_shade,text_final
Long Lasting Lip Pencil,070 I Got You Babe!,the ideal preparation for fashion lips the longlasting lip pencil sets colour limits and prevents lipstick as well as gloss from streaking its waterproof texture guarantees ultra longlasting contours and the creamy tip softly glides over your lips to ensure an accurate application prevents lipstick and lipgloss from streaking creamy texture waterproof and longlasting catrice kamu bikin lip liner keras kayak batu kalau pake lipbalm ngk keluar warna kalau ngk pake lipbalm kering banget susah keluar warna tahan cuma keras banget lip liner beli pernah baca review salah satu must havesnya produk catrice beli pas diskon alhamdulillah aku suka turut harga gin bagus banget sih lumayan tahan lama liplinernya lip pencil warna pink terus mauve gitu bagus sih karna shadenya keluar bgt bibir tekstur not too creamy justru cenderung padat harga standar lah k an repurchase maybe warna nya nude mauve cantik harga an ribu tekstur nya waxy cukup pigmented medium coverage waxy hasil lengket pecah kalo ga oles lip balm belum terus buat yg bibir kering kayak mending kalian cari lip liner tekstur creamy waxy buat bibir kalian makin kering pecah terus tahan sih cukup tahan lama kok makan rakus ga ilang loh in sum cocok buat mula punya bibir ga kering aku suka lip pencil warna selalu beli shade hey macadamia ahey warna yg bagus kalo kalian suka pake lipstick warna coklat tekstur cukup creamy turut gak terlalu keras kurang turut bikin bibir kering ngeletek tp aku akalin dgn pake lip balm tipis apply lip pencil harga gin aku oke first of all mehh i feel it s not creamy even a little bit but what do you expect from cheap product so far their product i m satisfied is only the contouring highlight palette pan only this lipliner kinda hard when glides on my outer lip line not so covering dark shade just gives a little bit of color absolutely won t repurchase this product is okay warna cukup keluar aku x poles shade warna kinda pinkish nude sayang kurang sesuai nama ngga longlasting ga waterproof sih kalau dipake makan minum cepat hilang well harga k an turut oke sih untik yg mau nyoba nyoba lip liner dulu commit beli yg punya better performance lipliner catrice bagus mudah nempel bibir gak lembut gak kasar pas harga lumayan sih gak mahal kualitas oke pinsilnya kalau raut aman aman aja kalau beberapa produk mudah patah kan gak enak rasa jadi cepat habis kok aku bingung pas pake gaterlalu keluar bgt warna udah diapply berapa kali gakeluar kalo swatch tangan keluar bgt warna niat mau buat garis jadi kesan pink putih gitu jadi gakepake deh padahal temen beli yg warna keluar bgt warna repurchase mau nyoba warna beli pas ga tester jadi gamble abis ngira shade nya macem apa pas coba bibir warna pink nude aku ga pucet lah oke shade nya mnurut aku kya nyx istanbul cuman lebih sdikit redup dn aksen cklat nude dkit tekstur bibir keras mngkin krna wrnanya yg krg pigmented gt jadi perlu poles kali biar keluar banget yah the quality is good for an idr lipliner since this is my very first lipliner regarding the waterproof claim well honest to goodness this product is not a waterproof one yg ga suka raut pensil this might not be the one for you nevertheless this is worth to try yg takut nyoba bold colors tp gamau keluar banyak bole nih beli repurchase suda punya sayaa did i mention that i use this as my blush on too this color will make a beautiful alternative for blush on for fair skin
LUXE LIQUID LIP HIGH SHINE,Barely Nude,a luxuriously comfortable liquid lip formula that delivers ultra vivid color and a luminous light reflective glow paraben free phthalate free sulfate free sulfite free mineral oil free gluten free yesss super dupper yes kamu cinta aku klo buat ombre bagus bgt sayangkuu ampun mana tekstur enak lembut banget gabikin kering maupun patchy kaya apa kaya liptint lip cream duh poko juaraaaaaaa awal liat lip shine waktu pake gyanda beberapa bulan lalu acara bobbi brown kok bagus gt akhir penasaran lah bocor story kalau pake lip shine dr bobbi brown liat harga pricey jadi yg niat tadi mau jastip jd gak jadi eh waktu aku jalan jalan konter bobbi brown nang cobain langsung sungguh aku tak tolak tekstur emang basah becek gt tp samsek gak berat bibir aku langsung ambil buat ombre yg satu wild orchid sama banget kaya yg pake gyanda waktu hubung dapet diskon sekian persen turis waktu aju beliin titip temen lumayan banget beb potong aku sama sekali gak nyesel sangking suka aku sampe ngeracunin temen temen aku yg racun warna barely nude definisi warna nude pas bibir aku gak bukin pucet gak buat wajah jadi butek pake satu warna biasa aku pake satu warna kalau aku makeup fokus mata pipi jatohnya jadi pas banget kaya bibir asli kasih lip gloss gt lebih sering aku pake ombre ombrenya pake wild orchid jangan sekali sekali ngombre pake lip matte bakal geser gak warna jadi campur malah gak jadi ombre tekstur yg emang glossy gt
Flormar lip pen,228,creates effective lips with different color choices with its waterproof properties it won t run smudge it will stay all day jarang jarang sih pake lip pencil buat liner lumayan produk nya bilang murah bgt btw lebih enak produk lip liner nya kylie lbh creamy aku lbh pigmented lalu yg bilang keras ak rasa lip pencil bagus banget sekali lukis langsung keluar warna pilih warna banyak kini harga terlalu mahal teksture yg creamy jadi gampang pas aplikasi wajib masuk makeup box lip pencil bagus banget sekali lukis langsung keluar warna pilih warna banyak kini harga terlalu mahal teksture yg creamy jadi gampang pas aplikasi wajib masuk makeup box lip pen flormar harga terlalu mahal paling aku suka lip pen punya staying power bagus lip pen bentuk pensil kayu habis serut pakai hemat banget asa ga habis habis aku pake pagi hari malemnya nempel banget bibir stain cantik padahal pakai lip pen aku selalu pakai lip balm dulu loh sesuai alam lipstik aja ga tahan lama alam pertama pake lip pen sih memang hehe aku coba coba gores lip pen tangan kemudian aku coba gosok pakai jari hasil gosok kali warna lip pen nempel cantik tangan recommended banget deh aku sukaa banget sama warna cantik totally will repurchase
Slim Lip Pencil,Natural,nyx slim lip pencil rupa lip liner tekstur creamy milik warna sangat nyata high pigmented bingkai bibir sempurna tahan lama mudah pakai lipstik lanjut lipstik jadi rapi tetap ada bingkai bibir how to use aplikasi bingkai bibir suitable for semua jenis kulitingredients sorbitan isostearate isocetyl stearate phenyl trimethicone polyethylene euphorbia cerifera candelilla wax butyrospermum parkii shea butter unsaponifiables beeswax simmondsiachinensis jojoba seed oil caprylic capri triglyceride nylon octyldodecanol polyglyceryl diisostearate silica coperniciacerifera carnauba wax hydrogenated coconut oil tocopherol vp hexadecene copolymer stearalkonium hectorite stearylglycyrrhetinate propylparaben prolylene carbonate beli krn lg pgn nyoba pake lip liner timbang hari hari akhir pilih jatuh nyx yyg warna neutral sm peekaboo nya sama sama creamy opaque bgt gampang jg raut krn emg tekstur ga keras sama sekali glides on easily smpe sering swipe kali smpe perlu raut terus kwkw jg tahan lama kdg lipstick lipcream nya dh ilang msh stay lho tiap pake adaa aja yg nanyain lipstik apa warna memang wearable bgt buat hari nude pink hint abu ngga terlalu cool tone jadi cocok buat yg kulit warm tekstur sedikiiiit rasa pake lipstik tetep nyaman awet dulu suka bgt pake selalu repurchase terus makin lama makin susah cari repot selalu beli online trus boros sih emang pencil liner kan cepet habis overall bagus bgttt pigmented bgt aku suka bagus buat nge define bibir creamy cuma satu minus nya bau nya ga bgt kakak bau paint kayu gitu bikin ga nyaman harga nya masuk murah cuma susyaah nyarinya besides of it s limitation produk oke worth sih entah aq bad batch gimana turut keras aplikasi soal warna standar aja sih aplikasi lebih sekali garis kurang keluar aja warna bibir ku warna bagus lumayan tahan lama aku suka pake lip liner lipstick aku suka warna gak mao repot pake lipstick hehe harga murah gampang warna cantik gak bikin bibir kering suka deh pokok heh lip liner kasi ama temen aku as a freebie waktu aku belanja online store nya ga lama cobain langsung suka banget tekstur pencil nya ga keras cukup lembut bibir warna nya soo natural on my lips aku sering pake lip liner aja lipstick or lipgloss love it gampang raut cukup empuk pensil cenderung tajam raut raut apa warannya lebih beige nude pink beige cukup pigmented oke dipake lipstik tahan jam bawah lipstik tinggal outer ring favoooooorriiiiiiit banget sama lip pencil warna bagus banget aku pake biasa pakai single pakai apa warna soft banget bibir nude pastel bata gitu hasil matte bibir sama seklli gak bikin kering patut banget coba sayangya suka jarang conter olshop jarang jual aku mau repurchase susah beli warna sepenuh natural sama dwngan warna bibir warna nude sedikit hint merah bata cantik sekali bukan kulit buat kanvas bibir lip pencil buat warna bibir jadi lebih siap pulas lipstik warna lipstik jadi lebih rata intens staying powernya lebih lama pakai lip pencil sayang harga lumayan mahal hampir sama harga lipsticknya nyx sendiri lipliner holygrail aku tekstur empuk banget ga sakit pas dipake bibir warna natural kadang aku pake semua bibir hasil bagus bagus aja aku pake pake lipstick warna lipstick dipake jadi lebih intens lebih awet kurang sih mesti raut aja
The ONE Colour Stylist Lip Liner,Coral Ideal,oriflame the one color stylist lip liner produk make up bibir koreksi isi bagi luar tepi bibir bentuk kurang imbang tekstur creamy halus aplikasi how to use aplikasi sudut bibir suitable for ingredients tekstur nya keras kaku situ bagus nya jadi aris bibir pas presisi bibir ku penuh lipat aris baik nya warna nya bagus satu lipstik mudah nya buat bibir lihat rapi aku beli pas promo oriflame aku penasaran sama warna sunset oranye aku suka banget lipstick oranye coral macam pas apply gak gampang kering jadi nunggu beberapa detik biar kering cukup lembab belum wajib banget pake masker scrub bibir warna cantik oranye merah gitu hasil lumayan matte aku beli karna promo waktu harga jangkau banget ukur kecil jadi mudah pake bibir kering banget kaya ga kandung oilnya jadi aku ngga saranin sih buat kalian tipe bibir kering karna ngga bikin bibir kalian lembab susah pakenya ngga mate suka banget sama lip liner awal kenal lipstik aku coba lip liner duluan karna pakai lipstik hasil nya cukup matte aku kalo jadi pinggir bibir oke kok asal warna lipstik sesuai warna lip liner lip liner pertama akuuuuu cuma jarang pakai hehe jarang pakai buat lip liner nama hehe malah ku jadiin lipstik daaannn bagus hasil nya biasa pakai lipstik tuh bibir aku jadi kering gt walaupun udah pakai lipbalm pakai enggak kering dong bibir aku sih awet lipstik matte gliter gliter nya gt terus kalau buat liptik sih rentan patah hehe lip liner pertama waktu makeup sebenernya punya bunda sering aku pake kalo acara acara gitu aku ngeliatnya cantik bgt kalo pake wkwk suka banget sama warna diaplikasiinnya gampang creamy banget si doi sering suka banget sama lip liner kadang aku jadiin buat lipstick full bibir sanking bagus warna pigmented banget lumayan tahan lama lembut banget formula jadi enak diaplikasiin bibir liplinear oke punya bawa aja makanya selalu aku bawa tas make up aku aku pake lipstik aku selalu make liplinear the one warna cantik cantik banget jadi pengin beli trus nyobain lipliner nyata nyata wwkwkwk super duper lembut apply nya sangat mudah matte aku warna keluar banget aku suka aku suka hehehehehhehehehe beli ngga deh sekarang suka pake lip tint hehehe lip liner juara banget sih nii warna nya cantik matte banget bibir pake lipstick oke banget nihh udah bagus banget warna nyaa longlast packaging simple gmpng bawa mnaa
Endless Semi Permanent Auto Lip Liner,Mauvelous,l a girl endless semi permanent auto lip liner lip liner formula semi permanen formula tahan air tahan luntur panjang hari kaya kandung vitamin e tetap jaga kelembaban bibir how to use aplikasi lip liner cara bentuk bingkai bibiringredients adlh satu nya lip liner yg aku punya krn pd dasar aku ga ga suka pakai lip liner coba aja sih akhir beli lip liner os biar bikin lipstik pas pakai lebih rapi sempat bingung pilih warna trus dipilihin sama banya yg nyata warna merah gelap gitu sdgkan lipstik banyak warna pink tekstur creamy mudah aplikasi lip liner pertama aku beli aku tarik warna aku cari lipstik warna gelap nyata memang warna oke banget aku warna nutupin garis hitam bibir aku cuma sayang aku makan makan minyak nyata bikin gak tahan lama warna bawa sama minyak bibir aku lalu lip linernya bikin lumayan kering yah padahal aku udh pake balm pake lip liner btw you must be careful with the packaging rada packaging begini mudah patah but overall garga yg tawar l a girl has done a good job this shade actually differs from the other shades because instead of having a matte finish it has a soft pearly finish to it definitely drags quite badly when applied just like the other shades which is the major issue with this particular series but it is the most budge smudgeproof lipliner i ve ever tried yet so i guess the dragging is kind of forgivable especially that it s cheap it also lasts for quite some time though it s not semi permanent has a great color pigmentation and doesn t feel heavy on the lips
Long-Wearing Lipliner,03 Rose,silkygirl long wearing lipliner kecil kecil cabai rawit liplinernya baguuus bangeett aaa aku cobain ga kering kadang klo males pake lipstick cuma pake ini sebenernya mau repurchase tp kok rada sayang yaa mending beli lipstick sekali hahaha tp recommended bagus aku suka liplinernya baguuus bangeett aaa aku cobain ga kering kadang klo males pake lipstick cuma pake ini sebenernya mau repurchase tp kok rada sayang yaa mending beli lipstick sekali hahaha tp recommended bagus banget liplinernya baguuus bangeett aaa aku cobain ga kering kadang klo males pake lipstick cuma pake ini sebenernya mau repurchase tp kok rada sayang yaa mending beli lipstick sekali hahaha tp recommended sering pakai makeup gak pernah pakai lip liner jadi lip liner pertama aku beli waktu hype beauty vlogger pakai warna nya cantikkk sekali aku pakai buat full bibir malah pakai aja kayak pakai lipstick sangkin dulu sering pakai bulan habis lip liner aku beli bb creamnya silky girl jadi paket gitu aku creamy cuman ujung nya lewat gede warna bagus pigmented aku suka bibir gede gedein butuh banget sama gak abis abis hasil matte gak bikin kering lip liner packagingnya simple ramping banget tekstur sedikit creamy ukur kecil g jadi bawa mana aroma ga butuh beberapa kali oles tipis buat base udah cukup kalo buat makan berat nempel gelas hilang lipliner pertama first impresionnya nice enak banget buat ngebingkai bibir pakai lipstick terus bikin efek overdo lips tekstur creamy gak lembek karna putar sticknya kokoh jadi gak gampang patah nyoba beli lip liner biar overdrown bibir suhay salim suka akhir langsung beli no karna yg ready no gak lagipula warna merah ungu alhamdulillah udah langsung beli nyata enak haahha nama kalap aku cobain jadi eyeliner waterline enak produk creamy cepet ngeset cuma waterline jam udah mulai pecah jadi kayak mata yg kelilip gitu no warna merah terang aduh cantik bgt pokok beli tarik sama pakagingnya nyata salah ambil shade aku tone kulit gelap jadi pake gimana gt kurang pd jadi segi texture lumayan sih kalo ngeluarinya banyak patah lip liner satu nya warna pink yg gue punya warna bagus pigmented dipake makan or minum gak gampang ilang bagus jg nyatu sm warna lipstick gue yg tone pink tp karna gue jarang pake lipstick pink jd emang jarang kepake but suka sama pakcagingnya krn gak perlu raut repurchase maybe tp mungkin yg shade
Wonder Colour Lip Liner,Perfect Pink,there s no description for this product lip liner cukup putar putar aja pakai nya cukup putar sedikit aris bibir baik tekstur nya kaku sedikit padat mudah kan oles nya aris semua bagi bibir bibir kerut tetap mudah garis lip liner suka ku selalu gampang banget aplikasiin nya cucok meong lah pokok nya kalo gak pake lip liner bibir kurang gitu sih kurang rapi hehehehe pertama kali ken ajar lipstik pas review kalo lip liner buat lipstik jadi aku cobain deh karna kata hasil matte memang poles biasa kayak bibir hasil nya matte tp gak sampe lama so far bagus banget kok kalo buat pinggir lipstik sesuai warna lipstik yg mau dipake lip linernya warna bawah lipstik biar makin natural tampil nyobain lipliner nyata nyata wwkwkwk super duper lembut apply nya sangat mudah matte aku warna keluar banget aku suka aku suka hehehehehhehehehe beli ngga deh sekarang suka pake lip tint hehehe lebih suka kalau pakai full lips single use campur lipstik warna cocok kulit yg sawo matang jangan menghaparkan long lasting pakai ingle use kalau campur lipstik nge blend baik aku ga purchase penasaran sama lip liner
Retractable Lip liner,Nutmeg,nyx retractable lip liner fungsi bingkai bibir melembabkan tegas tampil bibir milik tekstur creamy aplikasi jadi lebih mudah formula tahan air waterproof tahan lama milik desain putar praktis dinamis simpel how to use aplikasi langsung bingkai bibirsuitable for semua jenis kulitingredients cyclopentasiloxane synthetic beeswax microcrystalline wax cera microcristallina mica trimethylsiloxysilicate vp hexadecene copolymer myristyl lactate c alkyl cetearyl dimethicone crosspolymer myristyl alcohol tocopherol lecithin ascorbyl palmitate glyceryl stearate magnesiumsilicate glyceryl oleate citric acid and tin oxide may contain peut contenir ironoxides ci titanium dioxide ci red lake ci red ci iron oxides ci or red lake ci warna cantik harga murah lumayan tahan lama dipakein seluruh bibir aku suka beli lip liner yg pake in seluruh bibir lebih praktis pas mao retouch gak perlu repot bawa products lip liner and lipstick sukkkkka banget aku kurang suka lipstick nude terang jadi aku pake buat gelap biasa aku pasangin kat von d everlasting liquid lipstick lolita udah beberapa waktu jadi duo combo suka aku lip liner sangat praktis dipakenya perlu ngeraut warna oke banget klo buat ngegelapin warna lipstick terlalu pucat bibir dipake full lipstick oke sih warna cuma sayang aja klo dipakenya sering buat lipstick isi pan cuma dikit lagi klo dipake buat lipstick turut formula nya bikin bibir kering harga sih cukup affordable mudah dapat konter nyx dekat praktis ga perlu raut tinggal twist siap aplikasi tekstur creamy ga asa keras kesat gar bibir pakai isi bagi bibir asa nyaman lebih hati hati perlahan pensil mudah patah nutmeg sangat opak warna coklat gelap cocok suka warna bibir ala kylie jenner
Ultra Smooth Lip Liner,Gingerbread,luxcrime ultra smooth lip liner rupa lip liner tarik formula ultra halus mudah definisi bibir lip liner milik formula tahan lama luncur mulus tetap lembut tegas bibir warna cantik how to use garis besar bibir mulai sudut bibir atas tampil bibir lebih penuh gambar tepi garis bibir isi bibir guna warna lipstick lip cream serasi keluar raut bawa dasar pensil putar ujung pensil tajam suitable for ingredients dimethicone mica synthetic wax trimethylsiloxysilicate c alkyl dimethicone phenylpropyldimethylsiloxysilicate phenoxyethanol caprylyl glycol tocopheryl acetate may contain ci ci ci cinta banget sama lip liner shade gingerbread cocok banget aku nge cover bibir two tone aku jugaa tekstur creamy blend nya sih emang ga gitu gampang yaa jadi awet banget pigmented bener bener warna langsung keluar repurchase buat kulit sawo matang two tone lips cocok buat ngenutupin bibir itam bagus kok cuman kurang sih emang rada kering gitu tahan lama sihh kalo pake makan makan berat goreng ilang aku perlu tacap kalo habis makan aku suka banget sama produk jg luxcrime ultra smooth lip liner yg shade gingerbread aku pakai ngebantu ngebentuk bibir aku bener bener liat tebell hihi aku jg suka gabikin kering praktis bawa mana hihi lip linernya punya tekstur cukup drying jadi aku wajib pakai lip balm dulu start pakai lip liner warna lucu punya staying power oke punya plus point ga serut gitu jadi tinggal puter gitu jadi lebih simple salut sih luxcrime udah bikin produk yg inovatif macam lip liner jyujyur gemar lip liner lama emang pakai yg merk luar jadi mau ga mau banding huhu honestly lip liner paling kering yg punya seret banget even though selalu lip prep dgn lipbalm waktu awal make up kalau lip balmnya tambah lip linernya bakal ngawang ga nempel dgn baik bingung deh hahaha sayang padahal warna bagus susah pakai bantu baik rapi lipstik jadi pakai deh unboxing aku udh gasuka dgn packaging tutup too long buat ujung lip tabrak patah dikit kena ujung tutup lalu aku pakai ukur pendek jg sangat hati batin kata patah jadi fix ringkih banget lip liner nya harga segitu not worth to buy bye luxcrime aku rugi gak mau beli lip liner padahal semua produk luxcrime bagus baru kali aku sangat kecewa
Lip Liner Pencil,Reddish Junk,make over lip liner rupa pensil guna gambar garis bagi luar bibir rata desain bentuk gar bibir bibir lihat lebih bentuk ideal sedia tiga warna lust brown reddish junk sexy pink how to use aplikasi langsung buat garis bingkai bagi garis luar bibir suitable for semua jenis kulit ingredients aku kurang suka sama lip liner nya makeover bentuk yg raut gitu jd repot beli jg paksa nyari lip liner nya revlon ga terus jg warna ak kurang suka pengaruh warna lipstick gitu jd warna lipstick nya menjd lbh gelap dr warna asli fyi ak suka pakai lipliner seluruh muka bibir selalu beauty kit aq guna sih garis bibir tp kalo aq pakenya seluruh bibir aq aplikasiin pake lipstik kok gitu aq suka makan males banget hbs makan musti kaca pake lipstik kalo aq pake lipstick tetep nemplok sempurna bibir ga takut pudar ato lenyap hohohoho lip liner merah yg oke banget beli pas butuh banget buat mix sama ysl yg no krn yslnya glossy takut bleberan pas pake sama liner omg hasil keren banget lipstik nya jadi lebih tahan lama aku gapernah kecewa sama makover singkat cerita jadi aku suka pake lipliner dijadiin lipstick jd cari lipliner ga buat bibir kering nemu lipliner langsung beli pas coba creamy banget warna bagus cocok banget bibir aku warna sexy pinknya pokok suka banget sama lipliner makeover beli kalau udah abis one of my favorite lip liner lip liner makeover tu sangat sangat soft creamy jadi gampang banget guna batas maupun fill in aplikasi lipstick bikin bibir makin mens kalau pakai lip liner lipstik makin tahan lama kalau fill in pakai lipstik jadi kaya base gitu loh yah aku males nya ngeraut nya aja sih make sure pakai raut tajem i really like this pencil liner hubung lipstik sering aku pake salah satu make over jadi aku tarik buat beli lip liner nya aku beli shades brown nyata brown nya bener coklat banget bibir padahal niat mau nude aja karna buru beli jadi gak terlalu ngecek detail deh walopun warna gak cocok bibir aku shade terlalu coklat tekstur gak bikin kering bibir staying power nya oke kata sales nya lip liner waterproof kalau suruh beli aku mau warna beda pink merah merah cantiiikkk banget kece deh tesktur lumayan lah ngga terlalu kering staying power lumayan makan stain pinggir bibir tiap beli nunggu promo discountnya aja hehehe cakeeeeeppppp one of my fav kemaren pas repurchase bwt dua kali udah harga sih dipake sendiri w o lipstick bsa cm nyerutnya kaya pake serut yg jual d make over kalo ga bakal rugi cos produk nempel raut yg pas serut kaya punya yg pertama aku cinta gincu merahhhhh pas liat ko counter makeover langsung aja aku beli bener cantik banget ga tahan liat ken bngt pake tiap hari hahah ga bikin kering tekturenya pas ga terlalu lembek warna p igmented kalo pake lipstik merah bold warna cocok buat bingkai bibir biar makin rapi staying powernya oke kalo buat base lip jadi boros ukur kecil asa pricey jadi aku suka sama si reddish junk bikin bibir tambah sexy
Kiss Proof,18,lipstick hasil akhir matte tahan hingga jam pilih warna tarik waterproof transferproof suka banget pake karna simpel bawa mana cuma repot serut kalo udah habis aku gak ahli serut jadi buat sabar aja cocok pake bibir oke kok pigmented hasil awet pernah viral zaman awal tengah lipstick matte pertama aku harga super duper murah gak nyampe k akhir beli shade sekaligus tekstur literally powdery matte jadi susah banget diswatch kalau bibir kondisi kering jadi ngegumpal lihat garis bibir kalau pigmentasi lumayan oke bener bener waterproof transferproof jadi nyaris ga ilang gosok sedikit biar ilang warna kalau bibir aku pink gelap hint ungu cakep sebenernya diri nyerah tekstur
Endless Semi Permanent Auto Lip Liner,Natural,l a girl endless semi permanent auto lip liner lip liner formula semi permanen formula tahan air tahan luntur panjang hari kaya kandung vitamin e tetap jaga kelembaban bibir how to use aplikasi lip liner cara bentuk bingkai bibiringredients lip liner is one of my favorites warna pigmented nude gitu tekstur lembut creamy ga perlu raut jadi mudah bawa tahan lama oiya kalo dipake sendiri bagus kurang cuma mudah patah kalo udh mau abis gitu aku beli varian yg pink parfait true red suka banget nyangka kalo nyata produk banget warna pigmented tekstur creamy jadi susah pas ngegarisin bibir biasa aku pake colourpop frick n frack jadi liat tambah karna jadi lebih rapi kadang aku pake lip liner seluruh bibir lipstick saking suka banget sama warna hehe suka banget warna cantik cocok buat pake tiap hari suka pake lip liner terus pake lime crime riot duh perfect match deh bibir kulit aku ken repurchase product tp mikir mao coba yg tp recommend deh coba lip liner cantik banget warna bener natural cocok buat jadi base lipstick sayang dipake rasa lengket kadang jadi cracking klo oles terlalu tebel kalau belum pake lipbalm dulu malah jadi patchy ga rata jadi lip liner gabisa dipake sendiri timpa sama lipstik baru hasil bagus one of my favorite lip liner use it almost like everyday kadang terlalu nyaman tekstur warna usually i ended up using this lip liner to my whole lip awal lip liner but end result matte mauve lipstick it is long lasting habis makan minum makan warna tetap stay and still good to go warna hasil coklat peach praktis ga perlu raut hati hati jangan terlalu keras menekannua bibir kayak mudah patah formula ga bikin kiring ga melembabkan malah cenderung matte warna emang pas buat pake lipstik mauve taoi teksturenya turut gaenak soal bikin ngerasa lengket warna ga terlalu keluar harga emang murah pas buat newbie kaya aku yg nyoba nyoba makeup buat repurchase kaya ngga deh lebih enak nyx my hg lipliner pakai enak kering keset lipliner pensil raut jadi praktis banget tinggal putar langsung aplikasi bibir warna aku suka banget biasa aku pakai pakai lipstick warna nude mlbb langsung beli shade shade lain rating ga geser rating via pc feels lightweight on the lips quite transferproof and doesn t budge easily on mild pressure not sticky at all great color payoff very good staying power fades away evenly it s stiff and really really drags when applied definitely not for the impatient people not much product but it is expected from a retractable automatic liner enak matte musti tenaga bikin saran aku sih lebih baik pake lip balm dulu pake l a girl endless semi permanent auto lip liner gr natural oiya packagingnya standard banget luntur lama packagingnya
The ONE Colour Stylist Lip Liner,Clover Haze,oriflame the one colour stylist lip liner lip liner tekstur ultra creamy kaya pigmen formulasi soft wax hyaluronic acid pakai nyaman jaga bibir tetap hidrasi how to use aplikasi garis bibirsuitable for ingredients pasti lipstik rapi bibir bantu so the one lip liner jadi aku pakai lipstik liptin aku pakai dulu nama lip liner bingkai gitu jadi lipstik gak lebar kesana kemari cobain yukk sist cari lip liner mutu premium memang mudah lumayan praktis pakai sih susah kurang suka bawa serut jadi ken tinggal putar pakai nah produk sisi praktis lumayan belepot rapi pakai sayang cepat hilang jadi makan perlu oles ulang sayang isi sedikit
Color Contour Plus Lip Liner,Wine Red,inez cosmetics lip liner guna tegas bentuk garis bibir tampak lebih sempurna how to use aplikasi bentuk bingkai bibirsuitable for semua jenis kulitingredients tahan kualitas produk jujur sangat bagus enak dipake bahkan yg bibirmya two tone nutup banget sayang pilih warna minim banget jadi kulit kurang masuk warna dua moga inez nambah shadenya yaaa warna wine rednya bagus gamoang banget hapus ga stainnya bibir tekstur creamy bentuk kayak pencil jadi gampang apply bibir cuma gampang patah gampang benyek jadi hati hati banget pas pakai harga adfordable aku suka banget sama tekstur lip liner inez punya warna pigmentasi cakep banget paling repot kalau udah tumpul karna gak dian raut jadi mesti punya sendiri good job sih harga affordable udah punya kualitas lumayan kata sih pakai lip liner buat tampil bibir lihat penuh nah pas beli sekali sama eyeliner white floral nya pas pertama kali pakai lip liner inez susah aplikasin mungkin kalau bibir terlalu lembab warna susah keluar jadi tipsnya kalau pakai lip liner bibir ada kering nah pakai lip liner pakai lip balm terus timpa lipstik warna pas pakai punggung tangan warna cantik pas pakai bibir kurang cocok hmm gak mau rugi lip liner alih fungsi buat shading hidung bagus banget buat ngebentuk bibir buat susah make lipstik bold suka miring miring ngebantu banget banget warna nya banyak buat nyesuai warna lipstik fungsi buat tegas garis bibir gitu kalo aku sih nyaman makenya udah biasa pake lipliner pertama yg ku punya wkwk dulu jaman nya tegas tajam bibir wkwk padahal tuh kupake baru beberapa kali sayang bgt mungkin dulu tuh buang gt kaya krn ku gak bs pakenya wkwkwk ku masuk orang yg simple tomboy jd nyesel skrg tuh ken beli coba ajar pake lipliner huhu lip liner pertama aku pake awal beli tiap pake cream mate selalu beranta wkwk lama makin suka kadang aku pake dijadiin lipstik langsung bagus aja malah awet warna kalo kalian butuh murce bagus aku saranin pake lip liner gaes bagus lip pencil inez lumayan bagus sering ku bikin lipstik bibir hasil waterproof banget gampang aplikasi travel friendly harga jangkau pensil nya raut pake raut pensil umum lip liner inez kota susah cari toko toko kosmetik tentu jual harga standar lah bentuk pensil balut warna biru dongker tutup warna gold beri kesan simpel elegan sedia warna pilih waktu aku pilih warna cinnamon swatch warna pink teksturnyanya sendiri creamy sangat mudah aplikasi buat garis tepi bibir sayang banyak pensil umum rajin ngeraut meski pensil ga rapuh kok jadi ga cepet patah hemat penggunaanya staying powernya ga terlalu bagus ga waterproof jadi kalo bawa makan hilang hasil jauh aku cukup puas ngeblend warna lipstik apa sangat cocok buat guna hari hari
